CODATA 2022 + astrophysical constants
Most quantities have been converted to CGS
Generated on Feb 10, 2025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference:

Mohr, P. , Tiesinga, E. , Newell, D. and Taylor, B. (2024), Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
[online], https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958002, https://physics.nist.gov/constants (Accessed February 10, 2025)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Symbol                    Name                                                              Value Unit                     Uncertainty Source                                       
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
wienK                     Wien displacement law constant                           2.89776850e-01 K cm                  5.10000000e-07 CODATA2022                                   
au1Hyper                  atomic unit of 1st hyperpolarizablity                    3.20636151e-53 C^3 m^3 J^-2          2.80000000e-60 CODATA2022                                   
au2Hyper                  atomic unit of 2nd hyperpolarizablity                    6.23538080e-65 C^4 m^4 J^-3          1.10000000e-71 CODATA2022                                   
auEDip                    atomic unit of electric dipole moment                    8.47835309e-30 C m                   7.30000000e-37 CODATA2022                                   
auEPol                    atomic unit of electric polarizablity                    1.64877727e-41 C^2 m^2 J^-1          1.60000000e-49 CODATA2022                                   
auEQuad                   atomic unit of electric quadrupole moment                4.48655124e-40 C m^2                 3.90000000e-47 CODATA2022                                   
auMDip                    atomic unit of magn. dipole moment                       1.85480190e-23 J T^-1                1.60000000e-30 CODATA2022                                   
auMFlux                   atomic unit of magn. flux density                        2.35051757e+09 G                     7.10000000e-01 CODATA2022                                   
muD                       deuteron magn. moment                                    4.33073482e-27 J T^-1                3.80000000e-34 CODATA2022                                   
muD_Bhor                  deuteron magn. moment to Bohr magneton ratio             4.66975457e-04                       5.00000000e-12 CODATA2022                                   
muD_Nuc                   deuteron magn. moment to nuclear magneton ratio          8.57438233e-01                       9.20000000e-09 CODATA2022                                   
muD_e                     deuteron-electron magn. moment ratio                    -4.66434555e-04                       5.00000000e-12 CODATA2022                                   
muD_p                     deuteron-proton magn. moment ratio                       3.07012208e-01                       4.50000000e-09 CODATA2022                                   
muD_n                     deuteron-neutron magn. moment ratio                     -4.48206520e-01                       1.10000000e-07 CODATA2022                                   
rgE                       electron gyromagn. ratio                                 1.76085963e+11 s^-1 T^-1             5.30000000e+01 CODATA2022                                   
rgE_2pi                   electron gyromagn. ratio over 2 pi                       2.80249532e+04 MHz T^-1              2.40000000e-03 CODATA2022                                   
muE                       electron magn. moment                                   -9.28476412e-24 J T^-1                8.00000000e-31 CODATA2022                                   
muE_Bhor                  electron magn. moment to Bohr magneton ratio            -1.00115965e+00                       3.80000000e-12 CODATA2022                                   
muE_Nuc                   electron magn. moment to nuclear magneton ratio         -1.83828197e+03                       8.50000000e-07 CODATA2022                                   
muE_anom                  electron magn. moment anomaly                            1.15965219e-03                       3.80000000e-12 CODATA2022                                   
muE_muP_shield            electron to shielded proton magn. moment ratio          -6.58227596e+02                       7.10000000e-06 CODATA2022                                   
