name;maxEnergy;QValue,reactants;products;a0;a1;a2;a3;a4;a5;a6
t(e-,)he3;6.617630246643094e+18;0.0186;t;he3;-20.1456;0.0;0.0;0.0;0.0;0.0;0.0
he3(,e+)t;2.5506379918853077e+37;-0.019;he3;t;-32.462;-0.21338;-0.821581;11.1241;-0.577338;0.0290471;-0.262705
he6(e-,)li6;3.034785295597675e+29;3.5051;he6;li6;-0.144619;0.0;0.0;0.0;0.0;0.0;0.0
he8(e-,)li8;3.911093189974065e+30;10.664;he8;li8;1.58776;0.0;0.0;0.0;0.0;0.0;0.0
li9(e-,)be9;1.7390756520989498e+30;13.606;li9;be9;0.650182;0.0;0.0;0.0;0.0;0.0;0.0
li11(e-,)be11;1.1427869283908503e+31;20.551;li11;be11;2.32215;0.0;0.0;0.0;0.0;0.0;0.0
be7(,e+)li7;3.986934538372138e+20;0.863;be7;li7;-23.8328;0.0;0.0;3.02033;-0.0742132;-0.00792386;-0.650113
be10(e-,)b10;530097895055852.9;0.557;be10;b10;-31.7772;0.0;0.0;0.0;0.0;0.0;0.0
be11(e-,)b11;3.0609079649658152e+28;11.51;be11;b11;-3.02267;0.0;0.0;0.0;0.0;0.0;0.0
be12(e-,)b12;1.8711202983352612e+31;11.708;be12;b12;3.46314;0.0;0.0;0.0;0.0;0.0;0.0
be14(e-,)b14;1.558492485622635e+31;16.291;be14;b14;3.10495;0.0;0.0;0.0;0.0;0.0;0.0
b12(e-,)c12;2.262939019261351e+31;13.368;b12;c12;3.51963;0.0;0.0;0.0;0.0;0.0;0.0
b13(e-,)c13;2.4905625244938773e+31;13.437;b13;c13;3.69054;0.0;0.0;0.0;0.0;0.0;0.0
b14(e-,)c14;4.915008495655265e+31;20.6431;b14;c14;4.01551;0.0;0.0;0.0;0.0;0.0;0.0
b15(e-,)c15;3.203268908879573e+30;19.09;b15;c15;1.43227;0.0;0.0;0.0;0.0;0.0;0.0
b17(e-,)c17;2.422209013166192e+31;22.738;b17;c17;3.40634;0.0;0.0;0.0;0.0;0.0;0.0
b19(e-,)c19;2.3722139639187387e+31;26.363;b19;c19;3.3494;0.0;0.0;0.0;0.0;0.0;0.0
c10(,e+)b10;7.876652976363288e+27;3.648;c10;b10;-3.32662;0.0;0.0;0.0;0.0;0.0;0.0
c11(,e+)b11;6.161621440815657e+25;1.983;c11;b11;-7.47312;0.0;0.0;0.0;0.0;0.0;0.0
c14(e-,)n14;2.59182139243622e+16;0.1565;c14;n14;-26.2827;0.0;0.0;0.0;0.0;0.0;0.0
c15(e-,)n15;1.1091194952617747e+29;9.7716;c15;n15;-1.2626;0.0;0.0;0.0;0.0;0.0;0.0
c16(e-,)n16;2.795277697547115e+27;8.011;c16;n16;-4.67999;0.0;0.0;0.0;0.0;0.0;0.0
c17(e-,)n17;1.1371680222765803e+30;13.162;c17;n17;0.89289;0.0;0.0;0.0;0.0;0.0;0.0
c18(e-,)n18;2.0354739953145403e+30;11.806;c18;n18;1.64112;0.0;0.0;0.0;0.0;0.0;0.0
c19(,e-)n19;0.0;0.0;c19;n19;1.70781;0.0;0.0;0.0;0.0;0.0;0.0
c20(e-,)n20;6.578704592173479e+30;15.792;c20;n20;2.62922;0.0;0.0;0.0;0.0;0.0;0.0
c22(e-,)n22;1.2470164885775324e+30;20.098;c22;n22;0.820931;0.0;0.0;0.0;0.0;0.0;0.0
n11(,e+)c11;1.079697185967702e+31;14.26;n11;c11;2.62922;0.0;0.0;0.0;0.0;0.0;0.0
n12(,e+)c12;5.4743124856824305e+31;17.338;n12;c12;4.14335;0.0;0.0;0.0;0.0;0.0;0.0
n13(,e+)c13;1.1915018684730021e+26;2.22;n13;c13;-6.7601;0.0;0.0;0.0;0.0;0.0;0.0
n16(e-,)o16;3.811203093437914e+28;10.42;n16;o16;-2.33084;0.0;0.0;0.0;0.0;0.0;0.0
n17(e-,)o17;2.5028398954246116e+27;8.6788;n17;o17;-4.81036;0.0;0.0;0.0;0.0;0.0;0.0
n18(e-,)o18;4.196311392475638e+29;13.8958;n18;o18;-0.10167;0.0;0.0;0.0;0.0;0.0;0.0
n19(e-,)o19;4.761302487668498e+29;12.523;n19;o19;0.182846;0.0;0.0;0.0;0.0;0.0;0.0
n20(e-,)o20;1.5727501959078468e+30;17.969;n20;o20;1.06822;0.0;0.0;0.0;0.0;0.0;0.0
n21(e-,)o21;3.905876175330291e+29;17.19;n21;o21;-0.231477;0.0;0.0;0.0;0.0;0.0;0.0
n22(e-,)o22;1.1855705218417724e+31;22.757;n22;o22;2.94767;0.0;0.0;0.0;0.0;0.0;0.0
n23(e-,)o23;2.9766765058994473e+31;23.823;n23;o23;3.86709;0.0;0.0;0.0;0.0;0.0;0.0
o13(,e+)n13;6.637142768106361e+31;17.769;o13;n13;4.39181;0.0;0.0;0.0;0.0;0.0;0.0
o14(,e+)n14;2.1709286388674083e+27;5.1436;o14;n14;-4.62354;0.0;0.0;0.0;0.0;0.0;0.0
o15(,e+)n15;6.279702909033172e+26;2.7536;o15;n15;-5.17053;0.0;0.0;0.0;0.0;0.0;0.0
o19(e-,)f19;3.9361481764705646e+27;4.8204;o19;f19;-3.65864;0.0;0.0;0.0;0.0;0.0;0.0
o20(e-,)f20;5.893754604178185e+27;3.813;o20;f20;-2.9692;0.0;0.0;0.0;0.0;0.0;0.0
o21(e-,)f21;4.71050269091172e+28;8.108;o21;f21;-1.59615;0.0;0.0;0.0;0.0;0.0;0.0
o22(e-,)f22;4.265617156405161e+28;6.488;o22;f22;-1.4259;0.0;0.0;0.0;0.0;0.0;0.0
o23(e-,)f23;1.9668179149025224e+30;11.311;o23;f23;1.89396;0.0;0.0;0.0;0.0;0.0;0.0
o24(e-,)f24;1.2285613861275118e+30;10.941;o24;f24;1.49935;0.0;0.0;0.0;0.0;0.0;0.0
o25(,e-)f25;0.0;0.0;o25;f25;4.97832;0.0;0.0;0.0;0.0;0.0;0.0
o26(,e-)f26;0.0;0.0;o26;f26;1.7944;0.0;0.0;0.0;0.0;0.0;0.0
o27(,e-)f27;0.0;0.0;o27;f27;4.38528;0.0;0.0;0.0;0.0;0.0;0.0
f17(,e+)o17;1.0504877876956639e+27;2.7598;f17;o17;-4.53318;0.0;0.0;0.0;0.0;0.0;0.0
f18(,e+)o18;5.826454762905361e+24;1.6558;f18;o18;-9.15982;0.0;0.0;0.0;0.0;0.0;0.0
f20(e-,)ne20;1.3208791524190167e+28;7.0249;f20;ne20;-2.77346;0.0;0.0;0.0;0.0;0.0;0.0
f21(e-,)ne21;2.7159263752824225e+28;5.684;f21;ne21;-1.79203;0.0;0.0;0.0;0.0;0.0;0.0
f22(e-,)ne22;4.317679530895159e+28;10.817;f22;ne22;-1.92525;0.0;0.0;0.0;0.0;0.0;0.0
f23(e-,)ne23;6.886576413859333e+28;8.463;f23;ne23;-1.16851;0.0;0.0;0.0;0.0;0.0;0.0
f24(e-,)ne24;5.667594102731273e+29;13.51;f24;ne24;0.514283;0.0;0.0;0.0;0.0;0.0;0.0
f25(e-,)ne25;2.153168429737984e+30;13.422;f25;ne25;1.89655;0.0;0.0;0.0;0.0;0.0;0.0
f26(e-,)ne26;2.6768409878189167e+31;18.186;f26;ne26;4.15258;0.0;0.0;0.0;0.0;0.0;0.0
f27(e-,)ne27;1.2499766294451462e+31;17.594;f27;ne27;3.46213;0.0;0.0;0.0;0.0;0.0;0.0
f28(,e-)ne28;0.0;0.0;f28;ne28;5.49712;0.0;0.0;0.0;0.0;0.0;0.0
f29(e-,)ne29;1.2390828942044902e+32;21.553;f29;ne29;5.62495;0.0;0.0;0.0;0.0;0.0;0.0
