         t  he3                            
       he3    t                            
       he6  li6                            
       he8  li8                            
       li9  be9                            
      li11 be11                            
       be7  li7                            
      be10  b10                            
      be11  b11                            
      be12  b12                            
      be14  b14                            
       b12  c12                            
       b13  c13                            
       b14  c14                            
       b15  c15                            
       b17  c17                            
       b19  c19                            
       c10  b10                            
       c11  b11                            
       c14  n14                            
       c15  n15                            
       c16  n16                            
       c17  n17                            
       c18  n18                            
       c19  n19                            
       c20  n20                            
       c22  n22                            
       n11  c11                            
       n12  c12                            
       n13  c13                            
       n16  o16                            
       n17  o17                            
       n18  o18                            
       n19  o19                            
       n20  o20                            
       n21  o21                            
       n22  o22                            
       n23  o23                            
       o13  n13                            
       o14  n14                            
       o15  n15                            
       o19  f19                            
       o20  f20                            
       o21  f21                            
       o22  f22                            
       o23  f23                            
       o24  f24                            
       o25  f25                            
       o26  f26                            
       o27  f27                            
       o29  f29                            
       o31  f31                            
       f17  o17                            
       f18  o18                            
       f20 ne20                            
       f21 ne21                            
       f22 ne22                            
       f23 ne23                            
       f24 ne24                            
       f25 ne25                            
       f26 ne26                            
       f27 ne27                            
       f28 ne28                            
       f29 ne29                            
       f30 ne30                            
       f31 ne31                            
       f32 ne32                            
       f34 ne34                            
       f36 ne36                            
       f38 ne38                            
      ne17  f17                            
      ne18  f18                            
      ne19  f19                            
      ne23 na23                            
      ne24 na24                            
      ne25 na25                            
      ne26 na26                            
      ne27 na27                            
      ne28 na28                            
      ne29 na29                            
      ne30 na30                            
      ne31 na31                            
      ne32 na32                            
      ne33 na33                            
      ne34 na34                            
      ne35 na35                            
      ne37 na37                            
      ne39 na39                            
      na19 ne19                            
      na20 ne20                            
      na21 ne21                            
      na22 ne22                            
      na24 mg24                            
      na25 mg25                            
      na26 mg26                            
      na27 mg27                            
      na28 mg28                            
      na29 mg29                            
      na30 mg30                            
      na31 mg31                            
      na32 mg32                            
      na33 mg33                            
      na34 mg34                            
      na35 mg35                            
      na36 mg36                            
      na38 mg38                            
      na40 mg40                            
      na42 mg42                            
      na44 mg44                            
      mg20 na20                            
      mg21 na21                            
      mg22 na22                            
      mg23 na23                            
      mg27 al27                            
      mg28 al28                            
      mg29 al29                            
      mg30 al30                            
      mg31 al31                            
      mg32 al32                            
      mg33 al33                            
      mg34 al34                            
      mg35 al35                            
      mg36 al36                            
      mg37 al37                            
      mg38 al38                            
      mg39 al39                            
      mg41 al41                            
      mg45 al45                            
      al21 mg21                            
      al22 mg22                            
      al23 mg23                            
      al24 mg24                            
      al25 mg25                            
      al26 mg26                            
      al-6 mg26                            
      al*6 mg26                            
      al28 si28                            
      al29 si29                            
      al30 si30                            
      al31 si31                            
      al32 si32                            
      al33 si33                            
      al34 si34                            
      al35 si35                            
      al36 si36                            
      al37 si37                            
      al38 si38                            
      al39 si39                            
      al40 si40                            
      al41 si41                            
      al42 si42                            
      al44 si44                            
      al46 si46                            
      al48 si48                            
      al50 si50                            
      si22 al22                            
      si23 al23                            
      si24 al24                            
      si25 al25                            
      si26 al26                            
      si26 al*6                            
      si27 al27                            
      si31  p31                            
      si32  p32                            
      si33  p33                            
      si34  p34                            
      si35  p35                            
      si36  p36                            
      si37  p37                            
      si38  p38                            
      si39  p39                            
      si40  p40                            
      si41  p41                            
      si42  p42                            
      si43  p43                            
      si45  p45                            
      si46  p46                            
      si47  p47                            
      si49  p49                            
      si51  p51                            
      si53  p53                            
       p23 si23                            
       p24 si24                            
       p25 si25                            
       p26 si26                            
       p27 si27                            
       p28 si28                            
       p29 si29                            
       p30 si30                            
       p32  s32                            
       p33  s33                            
       p34  s34                            
       p35  s35                            
       p36  s36                            
       p37  s37                            
       p38  s38                            
       p39  s39                            
       p40  s40                            
       p41  s41                            
       p42  s42                            
       p43  s43                            
       p44  s44                            
       p45  s45                            
       p46  s46                            
       p47  s47                            
       p48  s48                            
       p50  s50                            
       p52  s52                            
       p54  s54                            
       p56  s56                            
       s24  p24                            
       s25  p25                            
       s26  p26                            
       s27  p27                            
       s28  p28                            
       s29  p29                            
       s30  p30                            
       s31  p31                            
       s35 cl35                            
       s37 cl37                            
       s38 cl38                            
       s39 cl39                            
       s40 cl40                            
       s41 cl41                            
       s42 cl42                            
       s43 cl43                            
       s44 cl44                            
       s45 cl45                            
       s46 cl46                            
       s47 cl47                            
       s48 cl48                            
       s49 cl49                            
       s50 cl50                            
       s51 cl51                            
       s53 cl53                            
       s55 cl55                            
       s57 cl57                            
       s58 cl58                            
       s59 cl59                            
